0;5,6001;56
1;5,2002;52
0;4,6008;46
1;3,0007;30
0;3,8009;38
1;2,6009;26
1;3,4012;34
1;2,8011;28
1;4,4019;44
1;5,6025;56
0;3,7021;37
1;5,5032;55
0;3,202;32
1;3,6024;36
1;4,1029;41
1;4,1029;41
0;4,6037;46
1;4,1034;41
1;3,9035;39
1;3,1031;31
0;2,7029;27
0;5,0057;50
0;1,702;17
0;1,702;17
1;2,6031;26
1;4,0053;40
1;1,2017;12
0;3,2046;32
0;3,2046;32
0;3,2046;32
0;5,208;52
0;5,208;52
1;0,9014;9
1;2,4041;24
1;3,2055;32
1;1,6028;16
1;1,9035;19
0;4,1078;41
0;3,4065;34
1;1,2026;12
1;1,0022;10
1;3,0066;30
0;1,3029;13
1;2,8064;28
0;5,1118;51
1;1,5036;15
1;1,0025;10
0;1,8048;18
1;3,1083;31
1;1,5044;15
1;3,7113;37
1;1,304;13
1;4,213;42
1;3,0095;30
1;2,3074;23
1;2,7091;27
1;3,3116;33
0;3,2113;32
1;0,6022;6
1;2,7103;27
0;2,7103;27
1;3,1124;31
1;1,6066;16
1;2,4099;24
1;1,3054;13
1;1,1051;11
1;0,9043;9
0;0,9043;9
0;3,5168;35
0;0,9047;9
0;1,7094;17
0;1,7094;17
0;1,3073;13
1;0,6034;6
1;1,4084;14
1;0,7042;7
1;1,4084;14
1;3,5215;35
1;0,6038;6
0;3,6232;36
1;1,4094;14
1;0,7047;7
1;1,4094;14
1;1,4094;14
1;2,1143;21
1;1,2082;12
1;1,2082;12
1;1,8131;18
1;0,806;8
0;1,9143;19
1;0,9068;9
1;0,6048;6
0;4,3345;43
1;1,0082;10
0;1,4115;14
1;0,4033;4
1;0,605;6
0;1,0085;10
0;2,8242;28
1;0,6053;6
0;3,1277;31
1;0,2018;2
1;0,4036;4
1;0,9082;9
1;1,1103;11
0;1,3124;13
0;1,3124;13
0;2,221;22
1;1,4134;14
1;0,9088;9
1;2,4239;24
0;2,5249;25
1;1,0101;10
1;0,5051;5
1;0,4041;4
1;0,4041;4
1;2,3237;23
1;2,3237;23
0;1,7176;17
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,3032;3
1;0,7075;7
1;0,7075;7
1;1,1118;11
1;1,3143;13
0;0,5056;5
0;0,5056;5
1;0,5056;5
1;0,5056;5
1;0,5056;5
1;0,5056;5
1;0,5056;5
1;0,5056;5
1;0,5056;5
0;1,0113;10
0;0,3034;3
1;0,5057;5
1;1,1126;11
1;1,1126;11
1;1,1126;11
1;1,1126;11
0;1,7195;17
1;0,8092;8
1;0,6069;6
0;1,9221;19
1;1,9221;19
0;0,9105;9
1;0,7082;7
0;1,1131;11
1;1,1131;11
1;1,1131;11
1;0,506;5
1;0,3036;3
1;0,506;5
1;0,3036;3
1;0,3036;3
1;1,518;15
1;0,3036;3
1;0,3036;3
1;0,3036;3
1;0,9108;9
1;1,7205;17
1;1,4169;14
0;2,3278;23
1;1,5182;15
1;0,6073;6
0;3,239;32
0;3,239;32
1;2,0245;20
1;0,6074;6
1;1,9236;19
1;3,5441;35
1;0,3038;3
1;0,3038;3
1;1,3166;13
1;1,0128;10
1;0,5064;5
1;0,5064;5
1;0,5064;5
1;1,013;10
1;1,013;10
1;1,013;10
0;2,7351;27
1;0,3039;3
1;1,4183;14
0;2,5328;25
0;1,0132;10
0;1,0132;10
1;1,1146;11
1;0,912;9
0;2,331;23
1;0,6081;6
1;0,6081;6
1;0,6081;6
0;0,4054;4
1;0,4054;4
1;0,6081;6
1;0,4054;4
1;0,4054;4
1;0,4054;4
1;0,4054;4
1;3,4473;34
1;0,3042;3
1;0,3042;3
1;1,3184;13
0;1,3184;13
1;0,8115;8
1;2,6374;26
1;0,6087;6
1;0,7102;7
1;0,7102;7
1;0,9132;9
1;1,0148;10
1;1,0148;10
1;1,0148;10
0;2,03;20
0;1,7256;17
1;1,0152;10
0;3,1472;31
0;2,0308;20
0;3,1478;31
1;0,9139;9
1;0,4062;4
1;0,4062;4
1;0,4062;4
1;0,4062;4
1;0,4062;4
1;0,4062;4
1;0,4062;4
1;0,4062;4
